demre_code,weighted_threshold,unique_code,nem_weight,ranking_weight,math_weight,lang_weight,hist_weight,scie_weight,other_wieight,tipoies,region,nombreies,nombrecarrera,jornada,ingreso_directo
16068,554.2,I71S1C101J1V1,10.0,40.0,25.0,15.0,10.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA EN AGRONEGOCIOS,Diurno,0
16080,481.3,I71S1C102J1V1,10.0,40.0,20.0,20.0,10.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,TECNOLOGIA EN ADMINISTRACION DE PERSONAL,Diurno,0
16081,501.7,I71S1C103J1V1,10.0,40.0,25.0,15.0,10.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,TECNOLOGIA EN ALIMENTOS,Diurno,0
16082,486.15,I71S1C104J1V1,10.0,40.0,25.0,15.0,10.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,TECNOLOGIA EN CONSTRUCCIONES,Diurno,0
16083,495.2,I71S1C105J1V1,10.0,40.0,25.0,15.0,10.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,TECNOLOGIA EN CONTROL INDUSTRIAL,Diurno,0
16085,501.6,I71S1C108J1V1,10.0,40.0,25.0,15.0,10.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,Diurno,0
16086,486.05,I71S1C109J1V1,10.0,40.0,25.0,15.0,10.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,TECNOLOGIA EN MANTENIMIENTO INDUSTRIAL,Diurno,0
16089,481.95,I71S1C110J1V1,10.0,40.0,25.0,15.0,10.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,TECNOLOGIA EN TELECOMUNICACIONES,Diurno,0
16096,523.6,I71S1C111J1V1,10.0,40.0,20.0,10.0,0.0,20.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,LICENCIATURA EN CIENCIAS DE LA ACTIVIDAD FISICA / TERAPEUTA EN ACTIVIDAD FISICA Y SALUD,Diurno,0
16092,705.35,I71S1C11J1V1,10.0,40.0,15.0,15.0,0.0,20.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,ENFERMERIA,Diurno,0
16057,655.2,I71S1C142J1V1,10.0,40.0,10.0,20.0,20.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,LICENCIATURA EN ESTUDIOS INTERNACIONALES / ANALISTA EN POLITICAS Y ASUNTOS INTERNACIONALES,Diurno,0
16043,605.35,I71S1C145J1V1,10.0,40.0,25.0,15.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,PEDAGOGIA EN QUIMICA Y BIOLOGIA /LICENCIATURA EN EDUCACION EN QUIMICA Y BIOLOGIA,Diurno,0
16056,600.8,I71S1C146J1V2,10.0,40.0,20.0,20.0,10.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,PEDAGOGIA EN EDUCACION GENERAL BASICA / LICENCIATURA EN EDUCACION,Diurno,0
16051,607.8,I71S1C149J1V1,10.0,40.0,10.0,25.0,15.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,PEDAGOGIA EN HISTORIA Y CIENCIAS SOCIALES / LICENCIATURA EN EDUCACION EN HISTORIA Y CIENCIAS SOCIALES,Diurno,0
16001,600.15,I71S1C14J1V2,25.0,25.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN ELECTRICIDAD,Diurno,0
16038,603.9,I71S1C152J2V1,10.0,40.0,30.0,10.0,10.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,CONTADOR PUBLICO Y AUDITOR,Vespertino,0
16002,681.45,I71S1C15J1V2,25.0,25.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN GEOGRAFIA,Diurno,0
16004,688.05,I71S1C16J1V2,25.0,25.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN INFORMATICA,Diurno,0
16007,655.15,I71S1C17J1V2,25.0,25.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN MINAS,Diurno,0
16008,644.45,I71S1C18J1V2,25.0,25.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN OBRAS CIVILES,Diurno,0
16003,681.3,I71S1C19J1V2,25.0,25.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL INDUSTRIAL,Diurno,0
16005,604.45,I71S1C20J1V2,25.0,25.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN MECANICA,Diurno,0
16006,600.15,I71S1C21J1V2,25.0,25.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN METALURGIA,Diurno,0
16009,600.4,I71S1C22J1V2,25.0,25.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN QUIMICA,Diurno,0
16035,632.5,I71S1C23J1V1,10.0,40.0,30.0,10.0,10.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA COMERCIAL,Diurno,0
16014,658.8,I71S1C24J1V1,25.0,25.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA DE EJECUCION EN COMPUTACION E INFORMATICA,Diurno,0
16011,553.2,I71S1C25J1V1,25.0,25.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA DE EJECUCION EN ELECTRICIDAD,Diurno,0
16012,563.7,I71S1C27J1V1,25.0,25.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA DE EJECUCION EN GEOMENSURA,Diurno,0
16016,557.3,I71S1C28J1V1,25.0,25.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA DE EJECUCION EN METALURGIA,Diurno,0
16017,550.45,I71S1C29J1V1,25.0,25.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA DE EJECUCION EN MINAS,Diurno,0
16034,600.15,I71S1C2J1V1,10.0,40.0,15.0,20.0,15.0,15.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,ADMINISTRACION PUBLICA,Diurno,0
16019,553.2,I71S1C30J1V1,25.0,25.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA DE EJECUCION EN QUIMICA,Diurno,0
16013,554.0,I71S1C31J1V1,25.0,25.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA DE EJECUCION INDUSTRIAL,Diurno,0
16015,554.85,I71S1C32J1V1,25.0,25.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA DE EJECUCION EN MECANICA,Diurno,0
16021,559.3,I71S1C35J1V1,25.0,25.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,"INGENIERIA DE EJECUCION EN CLIMATIZACION (CALEFACCION, REFRIGERACION Y AIRE ACONDICIONADO)",Diurno,0
16067,554.3,I71S1C36J1V1,10.0,40.0,25.0,15.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA DE ALIMENTOS,Diurno,0
16048,584.1,I71S1C37J1V1,10.0,40.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA ESTADISTICA,Diurno,0
16042,611.0,I71S1C38J1V1,10.0,40.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA FISICA,Diurno,0
16095,603.3,I71S1C395J1V2,10.0,40.0,20.0,15.0,0.0,15.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,PEDAGOGIA EN EDUCACION FISICA,Diurno,0
16058,601.3,I71S1C396J1V3,10.0,40.0,10.0,25.0,15.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,LICENCIATURA EN HISTORIA,Diurno,0
16046,560.4,I71S1C39J1V1,10.0,40.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,ANALISTA EN COMPUTACION CIENTIFICA / LICENCIATURA EN CIENCIA DE LA COMPUTACION,Diurno,0
16070,655.05,I71S1C3J1V2,10.0,40.0,15.0,20.0,15.0,15.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,ARQUITECTURA,Diurno,0
16050,604.6,I71S1C40J1V1,10.0,40.0,10.0,30.0,10.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,PEDAGOGIA EN CASTELLANO / LICENCIATURA EN EDUCACION EN CASTELLANO,Diurno,0
16039,659.95,I71S1C413J1V1,10.0,40.0,25.0,15.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,QUIMICA Y FARMACIA,Diurno,0
16049,612.5,I71S1C41J1V1,10.0,40.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,PEDAGOGIA EN FISICA Y MATEMATICA / LICENCIATURA EN EDUCACION DE FISICA Y MATEMATICA,Diurno,0
