demre_code,weighted_threshold,unique_code,nem_weight,ranking_weight,math_weight,lang_weight,hist_weight,scie_weight,other_weight
15270,681.4,I88S4C14J1V2,20,20,40,10,10,10,0
15271,614.3,I88S4C20J1V1,20,20,40,10,10,10,0
15300,656.9,I88S6C56J1V1,20,20,40,10,10,10,0
15301,643,I88S6C16J1V1,20,20,40,10,10,10,0
15302,661.1,I88S6C40J1V1,20,20,40,10,10,10,0
15303,677.6,I88S6C466J1V1,20,20,40,10,10,10,0
15311,673.5,I88S6C10J1V1,20,20,40,10,10,10,0
15312,618.5,I88S6C353J1V1,20,20,40,10,10,10,0
15330,643.8,I88S6C11J1V1,20,20,40,10,10,10,0
15340,661.2,I88S6C17J1V1,20,20,40,10,10,10,0
15350,623.7,I88S6C19J1V1,20,20,40,10,10,10,0
15360,677.9,I88S6C13J1V2,20,20,40,10,10,10,0
15361,600,I88S6C93J1V1,20,20,40,10,10,10,0
15380,632.7,I88S6C1J1V2,20,20,40,10,10,10,0
15381,554.2,I88S6C36J1V1,20,20,40,10,10,10,0
15412,526.1,I88S2C65J1V3,30,20,30,10,10,10,0
15413,527.3,I88S2C348J1V2,30,20,30,10,10,10,0
15433,503.2,I88S2C67J1V3,30,20,30,10,10,10,0
15435,514.2,I88S2C68J1V3,30,20,30,10,10,10,0
15440,500,I88S2C417J1V1,30,20,30,10,10,10,0
15441,502.8,I88S2C346J1V2,30,20,30,10,10,10,0
15443,524.9,I88S2C71J1V3,30,20,30,10,10,10,0
15448,503.9,I88S2C91J1V2,30,20,30,10,10,10,0
15462,595.7,I88S2C38J1V1,30,20,30,10,10,10,0
15463,522.9,I88S2C94J1V3,30,20,30,10,10,10,0
15474,531.2,I88S2C347J1V2,30,20,30,10,10,10,0
15540,502.3,I88S3C417J1V1,30,20,30,10,10,10,0
15562,550.2,I88S3C38J1V1,30,20,30,10,10,10,0
15574,500.4,I88S3C347J1V1,30,20,30,10,10,10,0
16001,600.15,I71S1C14J1V2,25,25,30,10,0,10,0
16002,681.45,I71S1C15J1V2,25,25,30,10,0,10,0
16003,681.3,I71S1C19J1V2,25,25,30,10,0,10,0
16004,688.05,I71S1C16J1V2,25,25,30,10,0,10,0
16005,604.45,I71S1C20J1V2,25,25,30,10,0,10,0
16006,600.15,I71S1C21J1V2,25,25,30,10,0,10,0
16007,655.15,I71S1C17J1V2,25,25,30,10,0,10,0
16008,644.45,I71S1C18J1V2,25,25,30,10,0,10,0
16009,600.4,I71S1C22J1V2,25,25,30,10,0,10,0
16011,553.2,I71S1C25J1V1,25,25,30,10,0,10,0
16012,563.7,I71S1C27J1V1,25,25,30,10,0,10,0
16013,554,I71S1C31J1V1,25,25,30,10,0,10,0
16014,658.8,I71S1C24J1V1,25,25,30,10,0,10,0
16015,554.85,I71S1C32J1V1,25,25,30,10,0,10,0
16016,557.3,I71S1C28J1V1,25,25,30,10,0,10,0
16017,550.45,I71S1C29J1V1,25,25,30,10,0,10,0
16019,553.2,I71S1C30J1V1,25,25,30,10,0,10,0
16021,559.3,I71S1C35J1V1,25,25,30,10,0,10,0
16030,600.6,I71S1C4J1V1,10,40,20,20,10,10,0
16034,600.15,I71S1C2J1V1,10,40,15,20,15,15,0
16035,632.5,I71S1C23J1V1,10,40,30,10,10,10,0
16036,600.4,I71S1C6J1V1,10,40,30,10,10,10,0
16038,603.9,I71S1C152J2V1,10,40,30,10,10,10,0
16039,659.95,I71S1C413J1V1,10,40,25,15,0,10,0
16040,502.05,I71S1C75J1V1,10,40,25,15,0,10,0
16041,676.9,I71S1C5J1V1,10,40,25,15,0,10,0
16042,611,I71S1C38J1V1,10,40,30,10,0,10,0
16043,605.35,I71S1C145J1V1,10,40,25,15,0,10,0
16044,600.9,I71S1C73J1V1,10,40,25,15,0,10,0
16045,606,I71S1C44J1V1,10,40,30,10,0,10,0
16046,560.4,I71S1C39J1V1,10,40,30,10,0,10,0
16047,600.1,I71S1C100J1V1,10,40,30,10,0,10,0
16048,584.1,I71S1C37J1V1,10,40,30,10,0,10,0
16049,612.5,I71S1C41J1V1,10,40,30,10,0,10,0
16050,604.6,I71S1C40J1V1,10,40,10,30,10,0,0
16051,607.8,I71S1C149J1V1,10,40,10,25,15,0,0
16052,636.2,I71S1C43J1V1,10,40,10,30,10,0,0
16053,579.1,I71S1C45J1V1,10,40,10,30,10,0,0
16054,703.3,I71S1C46J1V1,10,40,10,30,10,0,0
16055,607.8,I71S1C69J1V2,10,40,10,30,10,0,0
16056,600.8,I71S1C146J1V2,10,40,20,20,10,10,0
16057,655.2,I71S1C142J1V1,10,40,10,20,20,0,0
16058,601.3,I71S1C396J1V3,10,40,10,25,15,0,0
16060,696.1,I71S1C71J1V1,10,40,15,25,10,0,0
16066,588.2,I71S1C72J1V1,10,40,10,30,10,10,0
16067,554.3,I71S1C36J1V1,10,40,25,15,0,10,0
16068,554.2,I71S1C101J1V1,10,40,25,15,10,10,0
16070,655.05,I71S1C3J1V2,10,40,15,20,15,15,0
16079,524.1,I71S1C75J2V1,10,40,25,15,0,10,0
16080,481.3,I71S1C102J1V1,10,40,20,20,10,10,0
16081,501.7,I71S1C103J1V1,10,40,25,15,10,10,0
16082,486.15,I71S1C104J1V1,10,40,25,15,10,10,0
16083,495.2,I71S1C105J1V1,10,40,25,15,10,10,0
16085,501.6,I71S1C108J1V1,10,40,25,15,10,10,0
16086,486.05,I71S1C109J1V1,10,40,25,15,10,10,0
16089,481.95,I71S1C110J1V1,10,40,25,15,10,10,0
16091,783.05,I71S1C67J1V1,10,40,15,15,0,20,0
16092,705.35,I71S1C11J1V1,10,40,15,15,0,20,0
16093,709.25,I71S1C68J1V1,10,40,15,15,0,20,0
16095,603.3,I71S1C395J1V2,10,40,20,15,0,15,0
16096,523.6,I71S1C111J1V1,10,40,20,10,0,20,0
16097,570,I71S1C444J1V1,10,40,20,10,0,20,0
16098,659.7,I71S1C549J1V1,10,40,10,10,0,30,0
16099,630.4,I71S1C555J1V1,10,40,10,20,0,20,0
16100,662.9,I71S1C572J1V1,10,40,10,20,20,0,0
16101,649.65,I71S1C778J1V1,25,25,30,10,0,10,0
16102,600.05,I71S1C781J1V1,25,25,30,10,0,10,0
16103,625.35,I71S1C780J1V1,25,25,30,10,0,10,0
16104,653.2,I71S1C779J1V1,25,25,30,10,0,10,0
16105,609.8,I71S1C777J1V1,25,25,30,10,0,10,0
16106,616.2,I71S1C775J1V1,10,40,10,30,10,10,0
16107,604.55,I71S1C852J1V1,25,25,30,10,0,10,0
16108,680,I71S1C850J1V1,10,40,30,10,0,10,0
16109,598.2,I71S1C851J1V1,10,40,20,20,10,10,0
17000,425.05,I90S1C3J1V1,20,30,25,15,0,10,0
17001,577.3,I90S1C6J1V1,10,40,20,10,0,20,0
17002,616.05,I90S1C7J1V1,10,40,25,10,0,15,0
17003,455.8,I90S1C10J1V1,20,30,25,15,10,10,0
17004,509.5,I90S1C34J1V2,10,30,40,10,0,10,0
17005,656.4,I90S1C22J1V1,20,30,20,15,0,15,0
17008,580.3,I90S1C33J1V2,10,30,40,10,0,10,0
17009,564.9,I90S1C35J1V1,20,30,25,15,10,10,0
17013,758.8,I90S1C92J1V1,10,30,30,15,0,15,0
17014,648.3,I90S1C91J1V1,15,30,25,10,0,20,0
17015,677.35,I90S1C93J1V1,10,40,15,20,0,15,0
17028,652.65,I90S1C112J1V1,20,30,20,15,0,15,0
17029,462.7,I90S1C4J1V1,10,40,10,25,15,0,0
17030,485,I90S1C114J1V2,10,30,40,10,0,10,0
17031,751.1,I90S1C92J1V2,10,30,30,15,0,15,0
17032,477.9,I90S1C127J1V1,15,30,20,20,0,15,0
17033,573.65,I90S1C5J1V2,10,40,25,15,10,0,0
17034,634.1,I90S1C111J1V1,15,35,15,15,0,20,0
17036,466.9,I90S1C141J1V1,10,30,40,10,0,10,0
17037,450.2,I90S1C46J1V1,10,30,40,10,0,10,0
17040,487.8,I90S1C50J1V2,10,30,40,10,0,10,0
17052,566.6,I90S2C126J1V2,10,30,40,10,0,10,0
17053,527.6,I90S1C44J1V1,15,35,25,15,0,10,0
17054,449.65,I90S1C1J1V1,20,30,15,20,15,0,0
17056,538.8,I90S1C104J1V1,10,40,10,25,15,0,0
17065,532.2,I90S1C131J1V2,30,30,10,15,15,0,0
17074,447.15,I90S1C143J1V2,10,50,10,15,15,15,0
17076,588.7,I90S1C144J1V1,20,30,25,10,0,15,0
17077,437.15,I90S1C146J1V2,15,40,10,15,20,0,0
17078,485.9,I90S2C35J1V1,20,30,25,15,10,10,0
17079,475.9,I90S1C147J1V1,10,30,40,10,0,10,0
17082,640.7,I90S1C12J1V1,10,30,10,30,20,0,0
17084,519.7,I90S1C103J1V2,10,40,10,30,10,0,0
17085,594.3,I90S1C128J1V2,10,50,10,20,10,0,0
17086,465.05,I90S2C112J1V1,20,30,20,15,0,15,0
17087,468.25,I90S2C129J1V1,20,30,10,25,0,15,0
17088,589.6,I90S2C130J1V1,20,30,20,20,10,10,0
17089,649.45,I90S1C132J1V1,15,35,15,20,0,15,0
17807,448,I90S1C261J1V2,10,30,40,10,0,10,0
17808,506.1,I90S2C97J1V1,20,30,15,25,10,0,0
17811,495.7,I90S2C476J1V1,20,30,30,10,10,10,0
17812,614.5,I90S4C474J1V2,10,30,40,10,0,10,0
