unique_code,tipoies,region,nombreies,nombrecarrera
I70S1C611J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN ENVEJECIMIENTO Y CALIDAD DE VIDA
I70S1C612J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN BIOESTADISTICA
I70S1C619J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS BIOLOGICAS Y MAGISTER EN CIENCIAS MEDICAS MENCION NUTRICION
I70S1C61J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA EN ALIMENTOS
I70S1C620J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN EDUCACION EN CIENCIAS DE LA SALUD
I70S1C627J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS ODONTOLOGICAS MENCION PERIODONTOLOGIA
I70S1C62J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA EN BIOTECNOLOGIA MOLECULAR
I70S1C634J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,CURSO DE ESPECIALIZACION DE POSTITULO EN COMPOSICION MUSICAL
I70S1C636J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,CURSO DE ESPECIALIZACION DE POSTITULO EN RESTAURACION DEL PATRIMONIO CULTURAL MUEBLE
I70S1C637J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,CURSO DE ESPECIALIZACION DE POSTITULO EN TERAPIAS DE ARTE MENCION MUSICOTERAPIA
I70S1C63J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA EN RECURSOS NATURALES RENOVABLES
I70S1C647J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,CURSO DE ESPECIALIZACION DE POSTITULO EN ECONOMIA Y FINANZAS PARA ABOGADOS
I70S1C64J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA Y CIENCIAS - PLAN COMUN
I70S1C64J1V4,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA Y CIENCIAS - PLAN COMUN
I70S1C651J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,CURSO DE ESPECIALIZACION DE POSTITULO EN CITOGENETICA CLINICA
I70S1C652J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,CURSO DE ESPECIALIZACION DE POSTITULO EN ENFERMEDADES CRONICAS NO TRANSMISIBLES DE ORIGEN NUTRICIONAL
I70S1C653J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,CURSO DE ESPECIALIZACION DE POSTITULO EN ATENCION NEONATAL
I70S1C656J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,CURSO DE ESPECIALIZACION DE POSTITULO EN UROLOGIA PEDIATRICA
I70S1C662J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TITULO DE PROFESIONAL ESPECIALISTA EN FARMACIA CLINICA Y ATENCION FARMACEUTICA
I70S1C663J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TITULO DE PROFESIONAL ESPECIALISTA EN MEDICINA DE ANIMALES PEQUEÑOS
I70S1C665J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TITULO DE PROFESIONAL ESPECIALISTA EN ANATOMIA PATOLOGICA
I70S1C666J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TITULO DE PROFESIONAL ESPECIALISTA EN ANESTESIOLOGIA Y REANIMACION
I70S1C667J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TITULO DE PROFESIONAL ESPECIALISTA EN CIRUGIA GENERAL
I70S1C668J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TITULO DE PROFESIONAL ESPECIALISTA EN CIRUGIA PEDIATRICA
I70S1C669J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TITULO DE PROFESIONAL ESPECIALISTA EN DERMATOLOGIA
I70S1C66J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,KINESIOLOGIA
I70S1C670J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TITULO DE PROFESIONAL ESPECIALISTA EN FISIATRIA
I70S1C671J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TITULO DE PROFESIONAL ESPECIALISTA EN GENETICA CLINICA
I70S1C672J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TITULO DE PROFESIONAL ESPECIALISTA EN INMUNOLOGIA
I70S1C674J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TITULO DE PROFESIONAL ESPECIALISTA EN MEDICINA DE URGENCIA
