demre_code,weighted_threshold,unique_code,nem_weight,ranking_weight,math_weight,lang_weight,hist_weight,scie_weight,other_weight,tipoies,region,nombreies,nombrecarrera
12096,510.0,I86S2C121J1V1,10,40,20,20,10,10,0,Universidades,REGION DE LA ARAUCANIA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,PEDAGOGIA EN EDUCACION GENERAL BASICA
12097,508.3,I86S2C571J1V1,10,40,20,20,10,10,0,Universidades,REGION DE LA ARAUCANIA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,PEDAGOGIA EN EDUCACION PARVULARIA
13001,516.5,I87S1C64J1V1,15,25,30,10,0,20,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,LICENCIATURA EN QUIMICA-QUIMICO
13002,530.67,I87S1C62J1V1,15,25,35,10,0,15,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,LICENCIATURA EN MATEMATICA
13003,511.35,I87S1C208J1V1,15,25,35,10,0,15,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA CIVIL MATEMATICA
13004,537.7,I87S1C2J1V1,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,QUIMICO ANALISTA
13006,501.3,I87S2C1J1V1,15,25,35,15,0,10,0,Universidades,REGION DE ÑUBLE,UNIVERSIDAD DE CONCEPCION,AGRONOMIA
13007,596.9,I87S2C101J1V1,15,25,40,10,0,10,0,Universidades,REGION DE ÑUBLE,UNIVERSIDAD DE CONCEPCION,MEDICINA VETERINARIA
13008,508.5,I87S1C44J1V1,15,25,30,20,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA FORESTAL
13009,513.1,I87S2C46J1V2,15,25,35,15,0,10,0,Universidades,REGION DE ÑUBLE,UNIVERSIDAD DE CONCEPCION,INGENIERIA CIVIL AGRICOLA
13011,645.1,I87S1C101J1V1,15,25,40,10,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,MEDICINA VETERINARIA
13012,617.35,I87S1C229J1V1,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,BIOINGENIERIA
13013,580.9,I87S1C7J1V1,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,BIOLOGIA MARINA
13014,562.3,I87S1C6J1V1,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,BIOLOGIA
13015,672.55,I87S1C43J1V1,15,25,30,20,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,GEOLOGIA
13016,531.4,I87S1C233J1V1,15,25,35,10,0,15,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA EN BIOTECNOLOGIA MARINA Y ACUICULTURA
13018,506.1,I87S1C230J1V1,15,25,25,20,15,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,GEOGRAFIA
13019,602.45,I87S1C54J1V1,15,25,35,15,10,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA COMERCIAL
13020,502.5,I87S1C260J1V1,15,25,30,15,0,15,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA EN BIOTECNOLOGIA VEGETAL
13022,503.3,I87S1C4J1V1,15,25,30,20,10,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,AUDITORIA
